iso3,year,gdp_growth_p50,gdp_growth_p10,gdp_growth_p90,inflation_p50,inflation_p10,inflation_p90,recession_prob,high_inf_prob
ARE,2023,4.96,2.6,6.28,8.12,7.18,8.99,0.018,1.0
ARE,2024,3.67,0.87,5.37,6.52,5.33,7.56,0.059,0.944
ARE,2025,2.85,-0.02,4.72,5.38,4.12,6.52,0.101,0.66
ARE,2026,2.4,-0.6,4.32,4.6,3.3,5.79,0.14,0.333
ARE,2027,2.11,-0.82,4.01,4.06,2.7,5.24,0.162,0.154
ZAF,2023,1.44,-1.8,3.23,9.45,8.16,10.58,0.23,1.0
ZAF,2024,1.47,-2.32,3.74,7.45,5.87,8.87,0.273,0.969
ZAF,2025,1.48,-2.43,3.97,6.08,4.39,7.6,0.281,0.798
ZAF,2026,1.4,-2.53,4.04,5.07,3.33,6.68,0.293,0.52
ZAF,2027,1.45,-2.5,3.99,4.4,2.55,6.03,0.293,0.324
SGP,2023,2.84,0.95,3.96,8.76,7.96,9.44,0.048,1.0
SGP,2024,2.46,0.23,3.87,6.94,5.97,7.81,0.084,0.99
SGP,2025,2.2,-0.22,3.72,5.66,4.62,6.61,0.117,0.799
SGP,2026,2.04,-0.35,3.6,4.77,3.67,5.73,0.129,0.385
SGP,2027,1.97,-0.41,3.54,4.14,3.09,5.12,0.136,0.13
MYS,2023,5.77,3.41,7.09,6.96,6.02,7.79,0.011,0.99
MYS,2024,4.16,1.26,5.83,5.7,4.51,6.72,0.046,0.784
MYS,2025,3.18,0.19,5.0,4.8,3.55,5.92,0.088,0.411
MYS,2026,2.56,-0.48,4.47,4.18,2.87,5.34,0.132,0.19
MYS,2027,2.2,-0.72,4.1,3.74,2.41,4.95,0.15,0.09
THA,2023,1.86,-0.77,3.3,8.65,7.62,9.58,0.146,1.0
THA,2024,1.78,-1.36,3.63,6.89,5.58,8.0,0.198,0.964
THA,2025,1.72,-1.42,3.68,5.63,4.25,6.87,0.218,0.727
THA,2026,1.67,-1.51,3.73,4.79,3.3,6.07,0.223,0.418
THA,2027,1.67,-1.49,3.74,4.18,2.71,5.5,0.222,0.221
EGY,2023,4.43,0.63,6.48,15.0,13.44,16.36,0.079,1.0
EGY,2024,3.15,-1.31,5.88,11.41,9.51,13.14,0.158,1.0
EGY,2025,2.38,-2.19,5.34,8.89,6.85,10.73,0.227,0.988
EGY,2026,1.9,-2.81,4.95,7.05,5.0,9.02,0.273,0.899
EGY,2027,1.62,-3.13,4.72,5.82,3.69,7.8,0.303,0.699
